RegistrationDate,UserID,Name,Gender,Age,Total,Birthday
2023/04/23,SC32815,チカテウ,women,81,28000,1942/05/11
2023/09/10,GE89267,ワカインヤア,men,71,66000,1951/12/10
2023/07/16,VG97065,ムミニケヌナ,men,55,16000,1968/10/04
2023/08/01,MU14509,ヌユタソシ,women,26,35000,1997/02/20
2023/06/27,UF80671,チナフメユヌ,women,57,58000,1966/04/23
2023/01/04,JJ58607,セオウミナ,men,69,18000,1954/01/14
2023/05/08,DQ13168,トヘミセ,women,46,81000,1977/08/07
2022/11/04,VF36129,マホヤ,men,50,92000,1973/05/29
2023/09/06,OQ92913,ネカ,women,42,39000,1981/07/03
2023/07/06,HR43867,コケヘヒキ,women,68,68000,1954/11/18
2023/08/12,FN52382,トレヘロ,men,31,80000,1992/06/29
2022/12/20,QR34282,テメアア,women,73,52000,1950/04/25
2023/06/14,IN25630,ヲロクヤマリ,women,60,50000,1962/11/15
2023/04/18,DI33040,チク,men,69,2000,1954/07/15
2023/09/14,LQ26077,テヨニソ,men,45,68000,1978/06/17
2022/11/23,EH46612,エナネサケ,men,27,50000,1996/07/14
2022/11/01,UI62304,トラフ,women,76,30000,1947/10/02
2022/11/14,HV89468,キフクマ,men,78,58000,1945/02/22
2022/12/19,XU23378,ムシユ,women,42,75000,1980/12/28
2023/10/11,GL85494,ツムヨオル,women,35,81000,1987/11/02
2022/11/15,PG34078,クサ,men,36,98000,1987/08/05
2023/01/29,WU19474,シラセヌ,women,71,88000,1951/12/21
2023/01/04,MX97516,ミヲ,women,29,24000,1994/04/04
2023/09/03,HQ44553,ウテケヲ,women,61,22000,1962/06/07
2023/04/22,TA55707,メウヒ,women,63,16000,1960/04/19
2022/12/02,EV88976,ノテセ,men,24,10000,1998/10/27
2023/08/19,GE56764,ムノサヌモコ,men,25,44000,1998/01/19
2023/01/20,NC88950,スカウンキユ,men,67,95000,1956/05/04
2023/06/14,XE89408,テヒラスン,women,68,50000,1955/02/02
2022/12/20,GT43822,ワキホワ,women,64,96000,1959/02/27
2023/09/09,AI13575,ナツフ,women,39,84000,1983/12/20
2023/03/19,TT35728,ククイツ,men,46,91000,1977/06/27
2023/10/06,DR61595,ラネヲ,women,71,56000,1952/01/03
2022/11/10,CZ60914,ネユス,women,45,21000,1977/10/29
2023/07/05,DP68380,ノレト,women,40,10000,1982/12/29
2023/07/14,AO54759,ルチモネ,women,76,1000,1947/09/18
2023/08/05,CC91394,スフウムト,women,76,17000,1947/07/12
2023/07/24,FV44899,セセシリヤ,women,61,83000,1962/01/21
